date,prior_close,pred_high,pred_low,actual_high,actual_low,actual_close,h_err_pct,l_err_pct,direction_pred,dir_correct,regime,vix,cov68h,cov68l,cov90h,cov90l,condor,net_pnl_dollars,short_call,short_put,long_call,long_put,conf_68_high_lo,conf_68_high_hi,conf_68_low_lo,conf_68_low_hi,conf_90_high_lo,conf_90_high_hi,conf_90_low_lo,conf_90_low_hi
2026-01-16,6944.47,6991.56,6876.57,6967.3,6925.09,6940.01,0.3494,0.6987,BULLISH,False,GREEN,15.84,True,False,True,True,WIN,791.52,7019.39,6837.08,7029.39,6827.08,6963.74,7019.39,6837.08,6916.05,6931.5,7051.62,6802.84,6950.29
2026-01-20,6940.01,6987.07,6872.15,6871.17,6789.05,6796.86,1.67,1.1974,BULLISH,False,GREEN,15.86,False,False,False,False,LOSS,-207.96,7014.88,6832.69,7024.88,6822.69,6959.26,7014.88,6832.69,6911.61,6927.05,7047.09,6798.47,6945.83
2026-01-21,6796.86,6842.95,6730.4,6910.39,6804.96,6875.62,0.9922,1.097,BULLISH,True,YELLOW,20.09,False,False,False,True,LOSS,-7.79,6870.71,6688.03,6880.71,6678.03,6815.19,6870.71,6688.03,6772.77,6783.2,6902.7,6651.32,6809.48
2026-01-22,6875.62,6922.25,6808.39,6934.75,6893.62,6913.35,0.1819,1.2396,BULLISH,True,GREEN,16.9,True,False,True,False,WIN,838.37,6952.8,6765.53,6962.8,6755.53,6891.69,6952.8,6765.53,6851.25,6861.8,6982.69,6728.39,6888.39
2026-01-23,6913.35,6960.23,6845.75,6932.96,6895.5,6915.61,0.3945,0.7196,BULLISH,True,GREEN,15.64,True,False,True,True,WIN,777.35,6990.95,6800.64,7000.95,6790.64,6929.51,6990.95,6800.64,6890.86,6899.46,7021.0,6765.31,6926.19
2026-01-26,6915.61,6962.51,6847.99,6964.66,6921.6,6950.23,0.0311,1.0644,BULLISH,True,GREEN,16.09,True,False,True,True,WIN,801.14,6993.24,6804.87,7003.24,6794.87,6931.77,6993.24,6804.87,6891.1,6901.71,7023.3,6767.53,6928.45
2026-01-27,6950.23,6997.36,6882.27,6988.82,6958.83,6978.6,0.1229,1.1016,BULLISH,True,GREEN,16.15,True,False,True,True,WIN,808.5,7028.25,6838.94,7038.25,6828.94,6966.47,7028.25,6838.94,6925.6,6936.26,7058.46,6801.41,6963.13
2026-01-28,6978.6,7025.92,6910.36,7002.28,6963.46,6978.03,0.3388,0.7609,BULLISH,False,GREEN,16.35,True,False,True,True,WIN,822.52,7056.94,6866.86,7066.94,6856.86,6994.91,7056.94,6866.86,6953.87,6964.58,7087.27,6829.17,6991.56
2026-01-29,6978.03,7025.35,6909.8,6992.84,6870.8,6969.01,0.4659,0.5589,BULLISH,False,GREEN,16.35,False,True,True,True,WIN,822.45,7053.85,6870.12,7063.85,6860.12,6996.85,7053.85,6870.12,6949.47,6964.01,7086.69,6828.61,6990.99
2026-01-30,6969.01,7016.27,6900.87,6964.09,6893.48,6939.03,0.7487,0.106,BULLISH,False,YELLOW,16.88,False,True,True,True,WIN,849.25,7044.73,6857.41,7054.73,6847.41,6987.8,7044.73,6857.41,6944.32,6955.01,7077.53,6819.32,6982.42
